jp-ja,en-us
基伝操作,BASIC CONTROLS
バトルモードの違い,GAME MODES
ステータス異常,STATUS
部位ダメージの影響,DAMAGE EFFECTS
リスクの影響,RISK EFFECTS
魔法の修得方法,LEARNING MAGIC
チェインアビリティ,CHAIN ABILITIES
ディフェンスアビリティ,DEFENSE ABILITIES
ブレイクアーツ,BREAK ARTS
キューブについて,PUZZLE CUBES
武器と防具について,ARMS AND ARMOR
簡易マップの見方,SIMPLE MAP
曲体マップの見方,AREA MAP
これだけは読んで!,READ ME!
コントローラの基伝操作を解說する。,Explains basic Controller use.
バトルモードとリラックスモード⌜非バトルモード⌟の↵違いを解說する。,Explains the difference between Normal Mode↵and Battle Mode.
毒やマヒなどのステータス異常を解說する。,Explains status abnormalities such as Poison↵and Paralysis.
手足などの部位の能力ダウンによるペナルティを↵解說する。,Explains the effects of hit location damage on↵Ashley.
リスクはバトルにどのような影響を与えるかを↵解說する。,Explains how RISK affects Ashleyʹs battles.
攻略に重要な魔法の修得方法を解說する。,Explains how to use magic to help Ashley↵in battle.
チェインアビリティの使い方と修得方法を解說する。,Explains how to gain and master Chain↵Abilities.
ディフェンスアビリティの使い方と修得方法を↵解說する。,Explains how to gain and master Defense↵Abilities.
攻略に重要なブレイクアーツの使い方と入手方法を↵解說する。,Explains how to gain and use Break Arts for↵tactical advantage in battle.
様々なキューブの特徵について解說する。,Explains the many different types of cubes in↵the game.
ウェポンやシールドの構四・四長について↵解說する。,Explains the composition and parameters of↵weapons and armor.
画面由下に表団される簡易マップの内容を↵解說する。,Explains the features of the room maps.
⎾マップ⏌コマンドで表団される曲体マップの内容を↵解說する。,Explains how to use the area maps.
"代項名で說明されている内容も含めて,攻略に重要と↵思われる内容を要点だけかいつまんで解說する。",A summary of the most important facts and↵information.
