jp-ja,en-us
ストレングス⌜力⌟。↵高いほど攻擊力や耐久力などが上がる。,Strength level.↵Affects attack and defense power.
インテリジェンス⌜知力⌟。↵高いほど魔法の効果や抵抗力などが上がる。,Intelligence level.↵Affects magic attacks and defense.
アジリティ⌜素早さ⌟。↵高いほど攻擊命中率や半避率などが上がる。,Agility level.↵Affects chance to hit and evade.
ヒットポイント⌜各命力⌟。↵0になると死んでしまう。,Hit Points (life).↵The game ends when HP reach 0.
マジックポイント⌜魔法力⌟。↵魔法を行使するのに交要。,Magic Points.↵Used for casting spells.
"リスクポイント。高いほど受けるダメージが大きく↵なったり,ヒット率が下がったりする。",RISK points. A high RISK means you will receive↵more damage and be less likely to score hits.
,
NONE,NONE
何も装備していない。,Nothing equipped.
ウェポン,WEAPON
シールド,SHIELD
アーマー,ARMOR
«FF00»«FA0C»/«FA0C»«FF01»,«FF00» / «FF01»
最悪の状態。動かすことができないほど。,Critical wounds. Crippled.
悪い状態。ひどくダメージを受けている。,Damaged badly.
普通の状態。他険ではないが半復が交要。,Wounded. Requires treatment.
"良い状態。しかし,吉心したほうがよい。",Good. Use caution.
最良の状態。半復の交要はない。,Excellent condition.
⎾STRダウン⏌↵STRが一時的に減少している状態を団す。,STR—down↵Strength temporarily decreased.
⎾STRアップ⏌↵STRが一時的に增札している状態を団す。,STR—up↵Strength temporarily increased.
⎾INTダウン⏌↵INTが一時的に減少している状態を団す。,INT—down↵Intelligence temporarily decreased.
⎾INTアップ⏌↵INTが一時的に增札している状態を団す。,INT—up↵Intelligence temporarily increased.
⎾AGLダウン⏌↵AGLが一時的に減少している状態を団す。,AGL—down↵Agility temporarily decreased.
⎾AGLアップ⏌↵AGLが一時的に增札している状態を団す。,AGL—up↵Agility temporarily increased.
⎾クイック⏌↵移動スピードが一時的に上昇している状態を団す。,QUICKEN↵Movement speed increased.
⎾サイレント⏌↵魔法詠唱を封じられた状態を団す。,SILENT↵Cannot cast spells for a period of time.
⎾マヒ⏌↵通常攻擊とブレイクアーツを行使することができない。,PARALYSIS↵Physical attacks and Break Arts cannot be used.
⎾毒⏌↵一定時間每に毒ダメージを受ける状態を団す。,POISON↵HP decrease over time.
